active_contractors,total_contractors,percent_activity,utc_dayoftheweek,utc_hour,country
1,2,0.5,0,0,Afghanistan
1,2,0.5,0,10,Afghanistan
1,2,0.5,0,11,Afghanistan
1,2,0.5,0,12,Afghanistan
1,2,0.5,0,13,Afghanistan
1,2,0.5,0,14,Afghanistan
1,2,0.5,0,15,Afghanistan
1,2,0.5,0,17,Afghanistan
1,2,0.5,0,18,Afghanistan
1,2,0.5,0,20,Afghanistan
1,2,0.5,0,21,Afghanistan
1,2,0.5,0,22,Afghanistan
1,2,0.5,0,23,Afghanistan
1,2,0.5,1,0,Afghanistan
1,2,0.5,1,10,Afghanistan
1,2,0.5,1,11,Afghanistan
1,2,0.5,1,15,Afghanistan
1,2,0.5,1,16,Afghanistan
1,2,0.5,1,17,Afghanistan
1,2,0.5,1,18,Afghanistan
1,2,0.5,1,19,Afghanistan
1,2,0.5,1,20,Afghanistan
1,2,0.5,1,21,Afghanistan
1,2,0.5,1,22,Afghanistan
1,2,0.5,1,23,Afghanistan
1,2,0.5,2,0,Afghanistan
1,2,0.5,2,1,Afghanistan
1,2,0.5,2,2,Afghanistan
1,2,0.5,2,3,Afghanistan
1,2,0.5,2,4,Afghanistan
1,2,0.5,2,6,Afghanistan
1,2,0.5,2,11,Afghanistan
1,2,0.5,2,14,Afghanistan
1,2,0.5,2,15,Afghanistan
1,2,0.5,2,16,Afghanistan
1,2,0.5,2,17,Afghanistan
1,2,0.5,2,18,Afghanistan
1,2,0.5,2,19,Afghanistan
1,2,0.5,2,20,Afghanistan
1,2,0.5,2,21,Afghanistan
1,2,0.5,2,22,Afghanistan
1,2,0.5,2,23,Afghanistan
1,2,0.5,3,3,Afghanistan
1,2,0.5,3,10,Afghanistan
1,2,0.5,3,11,Afghanistan
1,2,0.5,3,12,Afghanistan
1,2,0.5,3,13,Afghanistan
1,2,0.5,3,14,Afghanistan
1,2,0.5,3,15,Afghanistan
1,2,0.5,3,16,Afghanistan
1,2,0.5,3,17,Afghanistan
1,2,0.5,3,18,Afghanistan
1,2,0.5,3,19,Afghanistan
1,2,0.5,3,20,Afghanistan
1,2,0.5,3,21,Afghanistan
1,2,0.5,3,22,Afghanistan
1,2,0.5,4,7,Afghanistan
1,2,0.5,4,10,Afghanistan
1,2,0.5,4,11,Afghanistan
1,2,0.5,4,12,Afghanistan
1,2,0.5,4,13,Afghanistan
1,2,0.5,4,14,Afghanistan
1,2,0.5,4,15,Afghanistan
1,2,0.5,4,16,Afghanistan
1,2,0.5,4,17,Afghanistan
1,2,0.5,4,18,Afghanistan
1,2,0.5,4,19,Afghanistan
1,2,0.5,4,20,Afghanistan
1,2,0.5,4,21,Afghanistan
1,2,0.5,4,22,Afghanistan
1,2,0.5,4,23,Afghanistan
1,2,0.5,5,0,Afghanistan
1,2,0.5,5,1,Afghanistan
1,2,0.5,5,3,Afghanistan
1,2,0.5,5,4,Afghanistan
1,2,0.5,5,7,Afghanistan
