country,local_dayoftheweek,local_hour,percent_activity,active_contractors,total_contractors
Afghanistan,0,0,0.5,1,2
Afghanistan,0,10,0.5,1,2
Afghanistan,0,11,0.5,1,2
Afghanistan,0,12,0.5,1,2
Afghanistan,0,13,0.5,1,2
Afghanistan,0,14,0.5,1,2
Afghanistan,0,15,0.5,1,2
Afghanistan,0,17,0.5,1,2
Afghanistan,0,18,0.5,1,2
Afghanistan,0,20,0.5,1,2
Afghanistan,0,21,0.5,1,2
Afghanistan,0,22,0.5,1,2
Afghanistan,0,23,0.5,1,2
Afghanistan,1,0,0.5,1,2
Afghanistan,1,10,0.5,1,2
Afghanistan,1,11,0.5,1,2
Afghanistan,1,15,0.5,1,2
Afghanistan,1,16,0.5,1,2
Afghanistan,1,17,0.5,1,2
Afghanistan,1,18,0.5,1,2
Afghanistan,1,19,0.5,1,2
Afghanistan,1,20,0.5,1,2
Afghanistan,1,21,0.5,1,2
Afghanistan,1,22,0.5,1,2
Afghanistan,1,23,0.5,1,2
Afghanistan,2,0,0.5,1,2
Afghanistan,2,1,0.5,1,2
Afghanistan,2,2,0.5,1,2
Afghanistan,2,3,0.5,1,2
Afghanistan,2,4,0.5,1,2
Afghanistan,2,6,0.5,1,2
Afghanistan,2,11,0.5,1,2
Afghanistan,2,12,0.5,1,2
Afghanistan,2,13,0.5,1,2
Afghanistan,2,14,0.5,1,2
Afghanistan,2,15,0.5,1,2
Afghanistan,2,16,0.5,1,2
Afghanistan,2,17,0.5,1,2
Afghanistan,2,18,0.5,1,2
Afghanistan,2,19,0.5,1,2
Afghanistan,2,20,0.5,1,2
Afghanistan,2,21,0.5,1,2
Afghanistan,2,22,0.5,1,2
Afghanistan,2,23,0.5,1,2
Afghanistan,3,3,0.5,1,2
Afghanistan,3,5,0.5,1,2
Afghanistan,3,10,0.5,1,2
Afghanistan,3,11,0.5,1,2
Afghanistan,3,12,0.5,1,2
Afghanistan,3,13,0.5,1,2
Afghanistan,3,14,0.5,1,2
Afghanistan,3,15,0.5,1,2
Afghanistan,3,16,0.5,1,2
Afghanistan,3,17,0.5,1,2
Afghanistan,3,18,0.5,1,2
Afghanistan,3,19,0.5,1,2
Afghanistan,3,20,0.5,1,2
Afghanistan,3,21,0.5,1,2
Afghanistan,3,22,0.5,1,2
Afghanistan,4,0,0.5,1,2
Afghanistan,4,1,0.5,1,2
Afghanistan,4,2,0.5,1,2
Afghanistan,4,5,0.5,1,2
Afghanistan,4,7,0.5,1,2
Afghanistan,4,10,0.5,1,2
Afghanistan,4,11,0.5,1,2
Afghanistan,4,13,0.5,1,2
Afghanistan,4,14,0.5,1,2
Afghanistan,4,15,0.5,1,2
Afghanistan,4,16,0.5,1,2
Afghanistan,4,17,0.5,1,2
Afghanistan,4,18,0.5,1,2
Afghanistan,4,19,0.5,1,2
Afghanistan,4,20,0.5,1,2
Afghanistan,4,21,0.5,1,2
Afghanistan,4,22,0.5,1,2
Afghanistan,4,23,0.5,1,2
Afghanistan,5,0,0.5,1,2
Afghanistan,5,1,0.5,1,2
Afghanistan,5,3,0.5,1,2
Afghanistan,5,4,0.5,1,2
Afghanistan,5,7,0.5,1,2
Afghanistan,5,9,0.5,1,2
Afghanistan,5,14,0.5,1,2
Afghanistan,5,15,0.5,1,2
Afghanistan,5,16,0.5,1,2
Afghanistan,5,17,0.5,1,2
Afghanistan,5,18,0.5,1,2
Afghanistan,5,19,0.5,1,2
Afghanistan,5,20,0.5,1,2
Afghanistan,5,21,0.5,1,2
Afghanistan,5,22,0.5,1,2
Afghanistan,6,2,0.5,1,2
Afghanistan,6,10,0.5,1,2
Afghanistan,6,11,0.5,1,2
Afghanistan,6,12,0.5,1,2
Afghanistan,6,13,0.5,1,2
Afghanistan,6,15,0.5,1,2
Afghanistan,6,16,0.5,1,2
Afghanistan,6,17,0.5,1,2
Afghanistan,6,18,0.5,1,2
Afghanistan,6,19,0.5,1,2
Afghanistan,6,20,0.5,1,2
Afghanistan,6,21,0.5,1,2
Afghanistan,6,22,0.5,1,2
Afghanistan,6,23,0.5,1,2
Albania,0,0,0.0625,1,16
