DOW,Hour,Country,Workers,Key,Mouse,Segments
Sun,0,Afghanistan,1,125,206,6
Sun,10,Afghanistan,1,129,174,7
Sun,11,Afghanistan,1,1207,1189,23
Sun,12,Afghanistan,1,284,386,4
Sun,13,Afghanistan,1,274,121,5
Sun,14,Afghanistan,1,218,37,1
Sun,15,Afghanistan,1,191,304,12
Sun,17,Afghanistan,1,90,229,9
Sun,18,Afghanistan,2,43,249,17
Sun,20,Afghanistan,2,1395,708,20
Sun,21,Afghanistan,2,450,639,20
Sun,22,Afghanistan,1,51,117,6
Sun,23,Afghanistan,1,83,236,6
Mon,0,Afghanistan,1,0,28,4
Mon,10,Afghanistan,1,1,5,3
Mon,11,Afghanistan,1,606,124,4
Mon,15,Afghanistan,2,715,598,13
Mon,16,Afghanistan,2,2207,287,21
Mon,17,Afghanistan,2,2873,877,38
Mon,18,Afghanistan,1,4053,2265,66
Mon,19,Afghanistan,1,3442,988,34
Mon,20,Afghanistan,1,9801,2703,45
Mon,21,Afghanistan,1,896,344,25
Mon,22,Afghanistan,1,1092,618,16
Mon,23,Afghanistan,1,315,330,13
Tue,0,Afghanistan,1,16,65,10
Tue,1,Afghanistan,1,,,6
Tue,2,Afghanistan,1,,,6
Tue,3,Afghanistan,1,,,6
Tue,4,Afghanistan,1,,,3
Tue,6,Afghanistan,1,1,1,3
Tue,11,Afghanistan,1,2,5,4
Tue,12,Afghanistan,1,1,3,3
Tue,13,Afghanistan,1,,,1
Tue,14,Afghanistan,1,466,231,11
Tue,15,Afghanistan,1,305,456,7
Tue,16,Afghanistan,1,575,368,23
Tue,17,Afghanistan,1,1724,883,25
Tue,18,Afghanistan,1,1337,622,31
Tue,19,Afghanistan,1,4726,1535,49
Tue,20,Afghanistan,1,3995,1964,34
Tue,21,Afghanistan,1,919,644,17
Tue,22,Afghanistan,1,512,384,17
Tue,23,Afghanistan,1,832,194,16
Wed,3,Afghanistan,1,166,192,6
Wed,5,Afghanistan,1,1,1,2
Wed,10,Afghanistan,1,208,139,10
Wed,11,Afghanistan,1,1631,530,12
Wed,12,Afghanistan,1,571,470,11
Wed,13,Afghanistan,1,21,14,6
Wed,14,Afghanistan,1,499,248,4
Wed,15,Afghanistan,1,19,24,10
Wed,16,Afghanistan,1,1942,919,25
Wed,17,Afghanistan,1,1380,825,46
Wed,18,Afghanistan,1,4997,1957,74
Wed,19,Afghanistan,1,5692,1765,33
Wed,20,Afghanistan,1,2230,347,8
Wed,21,Afghanistan,1,133,135,4
Wed,22,Afghanistan,1,,,1
Thu,0,Afghanistan,1,,,3
Thu,1,Afghanistan,1,,,6
Thu,2,Afghanistan,1,,,1
Thu,5,Afghanistan,1,99,172,9
Thu,7,Afghanistan,1,107,163,6
Thu,10,Afghanistan,1,21,47,8
Thu,11,Afghanistan,1,223,48,1
Thu,13,Afghanistan,1,1,7,3
Thu,14,Afghanistan,1,322,195,16
Thu,15,Afghanistan,1,723,325,14
Thu,16,Afghanistan,1,1224,617,28
Thu,17,Afghanistan,1,1200,1116,39
Thu,18,Afghanistan,1,1039,1747,56
Thu,19,Afghanistan,1,1325,932,41
Thu,20,Afghanistan,1,1275,1015,33
Thu,21,Afghanistan,1,2310,778,11
Thu,22,Afghanistan,1,316,419,8
Thu,23,Afghanistan,1,927,653,6
Fri,0,Afghanistan,1,86,22,5
Fri,1,Afghanistan,1,181,135,2
Fri,3,Afghanistan,1,6,35,4
Fri,4,Afghanistan,2,90,152,5
Fri,7,Afghanistan,1,30,46,11
Fri,9,Afghanistan,1,,,6
Fri,14,Afghanistan,1,725,140,14
Fri,15,Afghanistan,1,464,261,7
Fri,16,Afghanistan,1,399,207,6
Fri,17,Afghanistan,1,1878,706,41
Fri,18,Afghanistan,1,2723,2074,68
Fri,19,Afghanistan,1,966,1011,27
Fri,20,Afghanistan,1,1512,574,24
Fri,21,Afghanistan,1,1871,508,8
Fri,22,Afghanistan,1,241,417,13
Sat,2,Afghanistan,1,91,193,5
Sat,10,Afghanistan,1,87,140,6
Sat,11,Afghanistan,1,486,589,11
Sat,12,Afghanistan,1,0,1,1
Sat,13,Afghanistan,1,650,120,6
Sat,15,Afghanistan,1,467,73,5
Sat,16,Afghanistan,1,160,118,9
Sat,17,Afghanistan,1,73,133,9
Sat,18,Afghanistan,1,1330,779,16
Sat,19,Afghanistan,1,1550,383,9
Sat,20,Afghanistan,1,1717,443,13
Sat,21,Afghanistan,1,1593,415,14
Sat,22,Afghanistan,1,1211,536,24
Sat,23,Afghanistan,2,284,569,21
Sun,0,Albania,3,20220,8418,143
Sun,1,Albania,3,16700,7052,110
Sun,2,Albania,3,12894,5487,94
Sun,3,Albania,3,13451,5279,114
Sun,4,Albania,4,13767,6365,124
Sun,5,Albania,4,22517,7537,167
Sun,6,Albania,3,11278,4025,152
Sun,7,Albania,3,3908,1905,56
Sun,8,Albania,3,3813,1434,63
Sun,9,Albania,3,15872,2094,129
Sun,10,Albania,3,21658,3568,152
Sun,11,Albania,4,35355,7609,236
Sun,12,Albania,4,42045,10167,263
Sun,13,Albania,4,42292,9803,284
Sun,14,Albania,5,39483,9939,328
Sun,15,Albania,5,37557,9853,288
Sun,16,Albania,7,55112,12623,309
Sun,17,Albania,5,51004,13523,313
Sun,18,Albania,5,30996,10747,295
Sun,19,Albania,5,40577,12177,309
Sun,20,Albania,7,37520,16740,321
Sun,21,Albania,4,34190,12736,297
Sun,22,Albania,5,42800,15731,283
Sun,23,Albania,3,29531,16673,223
Mon,0,Albania,1,21851,15209,185
Mon,1,Albania,1,17623,11215,148
Mon,2,Albania,2,13258,7874,83
Mon,3,Albania,2,13909,5795,83
Mon,4,Albania,3,7651,3835,85
Mon,5,Albania,3,9306,6177,175
Mon,6,Albania,3,14739,10104,245
Mon,7,Albania,3,14357,7850,189
Mon,8,Albania,3,16878,10714,362
Mon,9,Albania,4,24475,14577,395
Mon,10,Albania,4,46986,16674,361
Mon,11,Albania,5,35769,13497,383
Mon,12,Albania,4,38300,13757,346
Mon,13,Albania,4,39309,13010,342
Mon,14,Albania,4,50686,14430,368
Mon,15,Albania,4,44008,16823,381
Mon,16,Albania,5,40784,17612,449
Mon,17,Albania,5,43514,22227,438
Mon,18,Albania,4,35864,20687,417
Mon,19,Albania,3,29079,19045,403
Mon,20,Albania,4,30506,18676,357
Mon,21,Albania,5,38699,21384,386
Mon,22,Albania,4,32847,19711,310
Mon,23,Albania,4,33147,15608,230
Tue,0,Albania,2,19208,10245,174
Tue,1,Albania,2,16905,8042,135
Tue,2,Albania,2,11481,5701,96
Tue,3,Albania,2,12033,4705,86
Tue,4,Albania,3,5331,3433,74
Tue,5,Albania,3,12229,8412,179
Tue,6,Albania,3,18977,12736,191
Tue,7,Albania,3,19908,9235,165
Tue,8,Albania,3,22486,14316,371
Tue,9,Albania,3,31460,16644,375
Tue,10,Albania,3,40210,17656,408
Tue,11,Albania,3,45090,17795,358
Tue,12,Albania,3,35679,14201,350
Tue,13,Albania,4,33842,12860,348
Tue,14,Albania,3,45328,14499,396
Tue,15,Albania,3,51432,17088,364
Tue,16,Albania,5,54094,20095,457
Tue,17,Albania,5,56586,24144,455
Tue,18,Albania,3,49442,25624,487
Tue,19,Albania,3,48011,24867,490
Tue,20,Albania,5,56375,26352,502
Tue,21,Albania,4,43839,22563,450
Tue,22,Albania,3,35944,21543,300
Tue,23,Albania,3,24076,13343,196
Wed,0,Albania,3,17727,9464,154
Wed,1,Albania,2,19151,6407,122
Wed,2,Albania,2,13197,7150,121
Wed,3,Albania,2,9580,4857,91
Wed,4,Albania,3,8635,4388,101
Wed,5,Albania,3,11396,8099,183
Wed,6,Albania,3,14085,9168,214
Wed,7,Albania,3,10617,9374,173
Wed,8,Albania,3,27256,13699,341
Wed,9,Albania,4,37194,16269,345
Wed,10,Albania,4,37203,18219,379
Wed,11,Albania,3,34474,17034,350
Wed,12,Albania,3,39862,16703,357
Wed,13,Albania,4,39003,14665,320
Wed,14,Albania,4,38076,15603,345
Wed,15,Albania,6,43038,16008,350
Wed,16,Albania,6,48792,22488,505
Wed,17,Albania,7,71432,30927,489
Wed,18,Albania,5,45664,27200,520
Wed,19,Albania,5,39344,21093,456
Wed,20,Albania,5,49489,24046,457
Wed,21,Albania,4,43431,22972,428
Wed,22,Albania,4,36858,19418,293
Wed,23,Albania,3,28587,15102,222
Thu,0,Albania,2,24172,13048,174
Thu,1,Albania,3,20439,10067,152
Thu,2,Albania,3,14277,9081,122
Thu,3,Albania,2,13513,5746,90
Thu,4,Albania,3,11027,4653,102
Thu,5,Albania,3,16979,9465,213
Thu,6,Albania,3,16663,11613,251
Thu,7,Albania,3,12880,8733,187
Thu,8,Albania,4,18534,11342,314
Thu,9,Albania,3,41754,16084,367
Thu,10,Albania,3,44837,18576,411
Thu,11,Albania,4,33380,15953,394
Thu,12,Albania,5,35467,16112,377
Thu,13,Albania,5,47776,15087,376
Thu,14,Albania,4,44658,19075,398
Thu,15,Albania,4,50418,19272,437
Thu,16,Albania,5,57716,23163,492
Thu,17,Albania,4,62702,23506,504
Thu,18,Albania,4,45612,23795,526
Thu,19,Albania,3,43972,25258,474
Thu,20,Albania,3,41054,20243,423
Thu,21,Albania,4,37491,19584,359
Thu,22,Albania,4,40768,17811,303
Thu,23,Albania,3,23715,12035,190
Fri,0,Albania,3,14387,7430,145
Fri,1,Albania,2,11253,5680,104
Fri,2,Albania,2,13913,7259,123
Fri,3,Albania,3,11724,7265,108
Fri,4,Albania,3,9193,5594,107
Fri,5,Albania,3,10395,6849,194
Fri,6,Albania,3,19289,11679,230
Fri,7,Albania,3,13664,9113,186
Fri,8,Albania,3,16622,12829,352
Fri,9,Albania,3,28952,15179,348
Fri,10,Albania,3,33056,16044,344
Fri,11,Albania,5,31221,13361,355
Fri,12,Albania,3,32623,13180,304
Fri,13,Albania,4,17920,8394,335
Fri,14,Albania,5,31387,8701,330
Fri,15,Albania,4,36018,11242,352
Fri,16,Albania,6,49829,14471,399
Fri,17,Albania,4,52345,15631,347
Fri,18,Albania,3,52381,21465,424
Fri,19,Albania,4,66100,22900,421
Fri,20,Albania,6,58454,19748,430
Fri,21,Albania,5,43791,16229,317
Fri,22,Albania,5,31481,16435,263
Fri,23,Albania,4,26945,14339,200
Sat,0,Albania,2,19738,12879,176
Sat,1,Albania,2,19664,11171,170
Sat,2,Albania,2,16509,7384,108
Sat,3,Albania,2,10264,5945,93
Sat,4,Albania,3,7511,5354,73
Sat,5,Albania,3,8096,4604,146
Sat,6,Albania,3,16812,8152,166
Sat,7,Albania,3,11739,7140,170
Sat,8,Albania,3,10447,7780,196
Sat,9,Albania,4,14524,10596,217
Sat,10,Albania,4,18285,7202,190
Sat,11,Albania,3,17262,6965,185
Sat,12,Albania,3,33276,9642,219
Sat,13,Albania,3,35858,10479,206
Sat,14,Albania,3,32212,8249,187
Sat,15,Albania,3,30880,8648,182
Sat,16,Albania,3,25491,7578,178
Sat,17,Albania,5,14928,5865,191
Sat,18,Albania,6,23781,5982,221
Sat,19,Albania,5,23917,6304,229
Sat,20,Albania,5,29251,7558,244
Sat,21,Albania,4,36873,9134,299
Sat,22,Albania,5,44453,9727,296
Sat,23,Albania,4,20889,7630,180
Sun,0,Algeria,23,26749,17248,362
Sun,1,Algeria,17,30646,17368,292
Sun,2,Algeria,16,16073,10427,216
Sun,3,Algeria,13,5286,2545,111
Sun,4,Algeria,12,950,1208,67
Sun,5,Algeria,11,8540,922,73
Sun,6,Algeria,9,10078,178,70
Sun,7,Algeria,12,38740,2452,162
Sun,8,Algeria,18,99718,5387,319
Sun,9,Algeria,19,128805,14652,470
Sun,10,Algeria,22,132883,19133,451
Sun,11,Algeria,28,141047,17901,511
Sun,12,Algeria,28,93485,14883,434
Sun,13,Algeria,29,97306,19001,475
Sun,14,Algeria,30,140341,20776,640
Sun,15,Algeria,33,130084,21671,559
Sun,16,Algeria,36,91319,17725,473
Sun,17,Algeria,34,119243,17027,480
Sun,18,Algeria,26,87659,18360,419
Sun,19,Algeria,28,87353,16531,466
Sun,20,Algeria,28,66918,19455,486
Sun,21,Algeria,29,59256,19975,474
Sun,22,Algeria,21,39515,19955,474
Sun,23,Algeria,20,42864,21515,355
Mon,0,Algeria,19,16206,12083,224
Mon,1,Algeria,12,10162,5532,129
Mon,2,Algeria,10,5208,3151,80
Mon,3,Algeria,9,3049,1415,80
Mon,4,Algeria,8,2359,1718,63
Mon,5,Algeria,8,13249,1453,77
Mon,6,Algeria,10,15787,1591,110
Mon,7,Algeria,12,57211,4184,160
Mon,8,Algeria,21,83356,7337,318
Mon,9,Algeria,24,137005,15591,482
Mon,10,Algeria,29,115290,17287,454
Mon,11,Algeria,30,106313,18172,485
Mon,12,Algeria,28,69420,11296,377
Mon,13,Algeria,33,76597,13268,403
Mon,14,Algeria,32,118984,15275,549
Mon,15,Algeria,25,138470,13497,484
Mon,16,Algeria,28,92706,14804,373
Mon,17,Algeria,27,128141,12556,464
Mon,18,Algeria,26,58096,9411,397
Mon,19,Algeria,22,63513,10633,376
Mon,20,Algeria,32,48594,13685,446
Mon,21,Algeria,35,53317,15813,451
Mon,22,Algeria,32,41242,19309,400
Mon,23,Algeria,22,44246,18531,364
Tue,0,Algeria,22,25038,12575,305
Tue,1,Algeria,20,24031,10599,209
Tue,2,Algeria,17,9277,5064,144
Tue,3,Algeria,12,3136,2504,92
Tue,4,Algeria,9,2272,1800,70
Tue,5,Algeria,7,759,554,54
Tue,6,Algeria,12,1280,900,74
Tue,7,Algeria,13,42713,3506,142
Tue,8,Algeria,19,73808,7304,265
Tue,9,Algeria,25,106234,12534,418
Tue,10,Algeria,27,93978,17810,491
Tue,11,Algeria,29,109186,19451,472
Tue,12,Algeria,28,91824,12979,445
Tue,13,Algeria,32,99219,13137,516
Tue,14,Algeria,37,116569,21158,604
Tue,15,Algeria,31,125662,22576,555
Tue,16,Algeria,33,78585,17859,420
Tue,17,Algeria,32,86121,16370,430
Tue,18,Algeria,30,57000,13086,365
Tue,19,Algeria,30,27145,9536,277
Tue,20,Algeria,33,42668,13955,393
Tue,21,Algeria,33,47256,17158,463
Tue,22,Algeria,32,75962,19190,446
Tue,23,Algeria,34,63951,22159,454
Wed,0,Algeria,26,37055,16638,343
Wed,1,Algeria,19,20866,10508,213
Wed,2,Algeria,18,12585,6704,180
Wed,3,Algeria,13,5290,1913,103
Wed,4,Algeria,13,1423,978,96
Wed,5,Algeria,11,4042,1126,109
Wed,6,Algeria,12,9323,1806,117
Wed,7,Algeria,15,32829,4082,193
Wed,8,Algeria,19,86282,12493,365
Wed,9,Algeria,23,149007,20048,581
Wed,10,Algeria,29,116074,17645,545
Wed,11,Algeria,27,98616,16506,485
Wed,12,Algeria,37,93062,16397,496
Wed,13,Algeria,42,103228,22249,631
Wed,14,Algeria,37,149218,22368,748
Wed,15,Algeria,37,131855,19961,670
Wed,16,Algeria,38,94682,23114,450
Wed,17,Algeria,41,117011,19129,523
Wed,18,Algeria,35,85328,20877,446
Wed,19,Algeria,34,62326,17566,445
Wed,20,Algeria,33,49961,17407,500
Wed,21,Algeria,35,76081,15756,526
Wed,22,Algeria,37,73055,17993,473
Wed,23,Algeria,34,50075,22220,438
Thu,0,Algeria,23,47972,20063,373
Thu,1,Algeria,23,30965,14482,299
Thu,2,Algeria,21,11298,8053,177
Thu,3,Algeria,13,4018,2845,101
Thu,4,Algeria,10,458,458,83
Thu,5,Algeria,8,2077,650,69
Thu,6,Algeria,11,8159,705,93
