country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Algeria,0.0094866071,77.4779706578,54.6901279838,0,0
Algeria,0.0079495614,77.4856661857,42.7797859548,0,1
Algeria,0.0052083333,87.1142857143,48.8205357143,0,2
Algeria,0.0066287879,59.8132936508,21.8375661376,0,3
Algeria,0.0066287879,32.3276643991,28.462585034,0,4
Algeria,0.0065104167,157.9529417552,18.2736717828,0,5
Algeria,0.0063244048,199.2510379772,16.8874557261,0,6
Algeria,0.0068655303,373.4063928958,21.5416241006,0,7
Algeria,0.0082465278,268.5878288589,19.1403299816,0,8
Algeria,0.0096899225,261.9870129381,32.3757246244,0,9
Algeria,0.0100769928,310.2790356209,36.6742385144,0,10
Algeria,0.0115427928,222.7040080604,35.9693186813,0,11
Algeria,0.009693287,179.8258374195,29.6548011632,0,12
Algeria,0.0104166667,223.4905204237,30.8113083986,0,13
Algeria,0.0101950355,211.5151589139,22.8846940272,0,14
Algeria,0.0100532946,258.6382953431,25.3154884435,0,15
Algeria,0.009375,233.9461018184,32.9252489057,0,16
Algeria,0.0096153846,287.6618822326,25.5793887688,0,17
Algeria,0.0083051802,159.4911875451,22.203518473,0,18
Algeria,0.0082236842,175.0993454963,23.3852945258,0,19
Algeria,0.0101425439,127.2380757744,26.7726059801,0,20
Algeria,0.0119047619,107.4316571296,30.4082176433,0,21
Algeria,0.0116738506,83.740810302,43.2104099109,0,22
Algeria,0.0094401042,117.8020488002,48.3386336386,0,23
Algeria,0.0081380208,90.2041832765,42.1287139489,1,0
Algeria,0.0065972222,108.6268439893,52.4238136863,1,1
Algeria,0.0067934783,70.7210990861,45.346981722,1,2
Algeria,0.0058210784,46.3642246642,39.0592551893,1,3
Algeria,0.0056423611,46.4251984127,41.1869047619,1,4
Algeria,0.0052083333,21.3392857143,20.8083333333,1,5
Algeria,0.0055555556,23.8500481,15.8082010582,1,6
Algeria,0.0061141304,296.2567159692,24.9959195126,1,7
Algeria,0.0078125,268.952166839,26.8390115783,1,8
Algeria,0.0094246032,223.9616471018,28.5897468185,1,9
Algeria,0.0092844203,173.1874917844,32.5434520117,1,10
Algeria,0.0101686508,213.5872743833,39.402638468,1,11
Algeria,0.0085648148,179.005695156,28.4523367396,1,12
Algeria,0.0104166667,180.4057723085,24.3873739687,1,13
Algeria,0.0102040816,197.6753878121,31.3771123989,1,14
Algeria,0.0104166667,213.3889394832,36.6414019665,1,15
Algeria,0.009837963,198.3944616832,38.7235876682,1,16
Algeria,0.0084325397,200.9906739944,38.453099366,1,17
Algeria,0.0087652439,145.6900085144,33.4657622671,1,18
Algeria,0.0087797619,85.0981113964,30.8383023303,1,19
Algeria,0.0083841463,110.646199957,35.5690646675,1,20
Algeria,0.009009009,116.0327951378,40.2992547094,1,21
Algeria,0.0092905405,131.8008019505,37.4394376493,1,22
Algeria,0.0102759009,120.9505053161,52.0710693315,1,23
Algeria,0.0096028646,103.3952460417,47.8178579747,2,0
Algeria,0.0068884409,93.3801337318,48.4705027721,2,1
Algeria,0.0075757576,72.7201755652,47.5609163059,2,2
Algeria,0.0065104167,50.7789888683,20.2715419501,2,3
Algeria,0.0055555556,29.2032051282,19.4054945055,2,4
Algeria,0.0055338542,63.9398809524,19.1204365079,2,5
Algeria,0.0060307018,107.8708185754,20.9848156894,2,6
Algeria,0.0075757576,186.434614316,23.445687671,2,7
Algeria,0.0083333333,223.5276489759,30.2311781285,2,8
Algeria,0.0105298913,235.4114760091,34.7549044461,2,9
Algeria,0.0107491135,189.9981543014,32.7911460448,2,10
Algeria,0.0100532946,212.1705720785,33.8165705547,2,11
Algeria,0.0105350379,188.9993302461,29.1071069332,2,12
Algeria,0.0132025194,156.0759022613,33.524337014,2,13
Algeria,0.0125868056,179.8923405101,26.0106941626,2,14
Algeria,0.0120018116,196.2893949391,28.1315859641,2,15
Algeria,0.0094907407,207.8224771372,44.4048980789,2,16
Algeria,0.0100694444,244.1557026983,34.2407560433,2,17
Algeria,0.0098248106,203.2849233309,43.8675047523,2,18
Algeria,0.0112179487,137.6957181688,37.8374722501,2,19
Algeria,0.0099537037,99.2663977278,33.1056952143,2,20
Algeria,0.0095486111,151.4858701494,29.0674058799,2,21
Algeria,0.0104166667,228.5417299422,35.7013476723,2,22
Algeria,0.0104166667,114.6850046135,45.5110425389,2,23
Algeria,0.0095486111,124.424954165,51.8419049743,3,0
Algeria,0.0086263021,128.4963324963,47.0305762683,3,1
Algeria,0.0084325397,69.2555088141,46.0961385836,3,2
Algeria,0.005859375,56.6616402116,37.944973545,3,3
Algeria,0.0055555556,13.9386243386,13.708994709,3,4
Algeria,0.0056818182,62.3455882353,27.0441176471,3,5
Algeria,0.0060096154,112.2722016079,13.8838280767,3,6
Algeria,0.0072916667,238.9720018148,37.6326838197,3,7
Algeria,0.0085867117,314.7836893406,40.1360648581,3,8
Algeria,0.0100977891,204.1233567982,34.5254663168,3,9
Algeria,0.0116921769,196.8770313916,44.4432638535,3,10
Algeria,0.0116921769,166.7435178217,40.6650071423,3,11
Algeria,0.0093315972,148.438216031,33.3745264461,3,12
Algeria,0.0101686508,164.200606259,35.0355101976,3,13
Algeria,0.0121527778,189.3990244548,40.0030806299,3,14
Algeria,0.0111923759,173.0140771889,49.2877038833,3,15
Algeria,0.0109707447,231.4674830259,39.3558718168,3,16
Algeria,0.0105274823,202.3170794522,43.3746090666,3,17
Algeria,0.0094907407,173.1372735817,37.4715925918,3,18
Algeria,0.0102955426,156.7575529358,26.0138731075,3,19
Algeria,0.0092147436,98.3646917207,35.2054000599,3,20
Algeria,0.011328125,89.8116778492,40.3471724222,3,21
Algeria,0.0099943694,140.2576564561,42.3970393677,3,22
Algeria,0.009009009,107.969987983,46.7637213449,3,23
Algeria,0.0083912037,91.6614506602,48.969425616,4,0
Algeria,0.0093118687,85.3443420853,53.7401114049,4,1
Algeria,0.0078965054,70.5216592931,50.9981446133,4,2
Algeria,0.00703125,50.7368769303,29.7422912327,4,3
Algeria,0.00625,49.371969697,48.4901515152,4,4
Algeria,0.005787037,60.1310606061,20.296969697,4,5
Algeria,0.0069444444,97.9522727273,15.7397727273,4,6
Algeria,0.0066550926,122.8704474097,36.0606881214,4,7
Algeria,0.0085685484,276.2228489802,32.6992642296,4,8
Algeria,0.0093513258,247.3136420152,30.8251612886,4,9
Algeria,0.0102926587,231.3702000717,31.5147277898,4,10
Algeria,0.0107355442,158.5237094179,31.6666365475,4,11
Algeria,0.0099537037,111.4947398895,28.8738058306,4,12
Algeria,0.0099826389,151.9541625066,32.1119435584,4,13
Algeria,0.0125968992,203.7951230446,40.3135371488,4,14
Algeria,0.0126329787,232.9923580959,39.5780321205,4,15
Algeria,0.0118371212,204.8015432606,39.7060163897,4,16
Algeria,0.011870155,211.888259511,37.040262737,4,17
Algeria,0.0116898148,152.2695024859,40.8067213579,4,18
Algeria,0.0111111111,159.0591022063,40.548319542,4,19
Algeria,0.0102864583,119.7748087863,29.6669613637,4,20
Algeria,0.0087652439,102.6845095477,26.4786447566,4,21
Algeria,0.009672619,94.05457705,40.8297333564,4,22
Algeria,0.0102831197,85.6794894675,46.6655862971,4,23
