Country,Day,Hour,Workers
Argentina,0,0,27.7884615385
Argentina,0,1,22.9038461538
Argentina,0,2,15.3461538462
Argentina,0,3,10.5384615385
Argentina,0,4,7.3076923077
Argentina,0,5,6.6153846154
Argentina,0,6,6.4807692308
Argentina,0,7,7.8269230769
Argentina,0,8,11.3076923077
Argentina,0,9,19.2884615385
Argentina,0,10,30.2115384615
Argentina,0,11,40.1153846154
Argentina,0,12,43.5576923077
Argentina,0,13,38.9807692308
Argentina,0,14,41.4038461538
Argentina,0,15,49.5
Argentina,0,16,52.7692307692
Argentina,0,17,54.9038461538
Argentina,0,18,52.6923076923
Argentina,0,19,57.7884615385
Argentina,0,20,59.0576923077
Argentina,0,21,47.25
Argentina,0,22,39.7884615385
Argentina,0,23,37.7692307692
Argentina,1,0,35.6346153846
Argentina,1,1,28.6153846154
Argentina,1,2,19.5192307692
Argentina,1,3,15.5384615385
Argentina,1,4,10.3269230769
Argentina,1,5,12.9230769231
Argentina,1,6,18.6346153846
Argentina,1,7,21.8846153846
Argentina,1,8,54.1538461538
Argentina,1,9,146.6730769231
Argentina,1,10,189.6538461538
Argentina,1,11,207.4615384615
Argentina,1,12,195.1538461538
Argentina,1,13,181.4423076923
Argentina,1,14,201.0961538462
Argentina,1,15,229.1730769231
Argentina,1,16,221.9807692308
Argentina,1,17,193.8269230769
Argentina,1,18,141.0384615385
Argentina,1,19,105.9807692308
Argentina,1,20,90.6538461538
Argentina,1,21,72.2692307692
Argentina,1,22,64.6730769231
Argentina,1,23,63.4230769231
Argentina,2,0,58.9038461538
Argentina,2,1,47.25
Argentina,2,2,32.1346153846
Argentina,2,3,22.7307692308
Argentina,2,4,12.1538461538
Argentina,2,5,11.7692307692
Argentina,2,6,17.3653846154
Argentina,2,7,21.1730769231
Argentina,2,8,59.1923076923
Argentina,2,9,159.6346153846
Argentina,2,10,204.5769230769
Argentina,2,11,222.7115384615
Argentina,2,12,206
Argentina,2,13,193.7884615385
Argentina,2,14,216.9615384615
Argentina,2,15,238.5769230769
Argentina,2,16,231.6538461538
Argentina,2,17,198.4807692308
Argentina,2,18,148.5
Argentina,2,19,109.1346153846
Argentina,2,20,91.2115384615
Argentina,2,21,78.3269230769
Argentina,2,22,64.7884615385
Argentina,2,23,66.3846153846
Argentina,3,0,64.0961538462
Argentina,3,1,46.4615384615
Argentina,3,2,32.5192307692
Argentina,3,3,23.5
Argentina,3,4,13.25
Argentina,3,5,11.6730769231
Argentina,3,6,17.7884615385
Argentina,3,7,24.4423076923
Argentina,3,8,61.1923076923
Argentina,3,9,153.25
Argentina,3,10,194.0384615385
Argentina,3,11,215.5
Argentina,3,12,200.0769230769
Argentina,3,13,189.9230769231
Argentina,3,14,221
Argentina,3,15,239.0576923077
Argentina,3,16,229.2115384615
Argentina,3,17,192.9038461538
Argentina,3,18,140.5961538462
Argentina,3,19,107.8461538462
Argentina,3,20,90.6923076923
Argentina,3,21,76.4038461538
Argentina,3,22,64.6538461538
Argentina,3,23,62.9615384615
Argentina,4,0,59.5
Argentina,4,1,43.8076923077
Argentina,4,2,29.5961538462
Argentina,4,3,21.25
Argentina,4,4,12.7884615385
Argentina,4,5,13.4038461538
Argentina,4,6,19.9615384615
Argentina,4,7,25.5
Argentina,4,8,56.3076923077
Argentina,4,9,150.5769230769
Argentina,4,10,197.1538461538
Argentina,4,11,217.1730769231
Argentina,4,12,201.4807692308
Argentina,4,13,185.1923076923
Argentina,4,14,209.0384615385
Argentina,4,15,236.0769230769
Argentina,4,16,230.6346153846
Argentina,4,17,201.9615384615
Argentina,4,18,143.5576923077
Argentina,4,19,108.2115384615
Argentina,4,20,89.25
Argentina,4,21,73.4807692308
Argentina,4,22,68.2884615385
Argentina,4,23,69.3269230769
Argentina,5,0,61.5769230769
Argentina,5,1,46.9230769231
Argentina,5,2,30.3653846154
Argentina,5,3,21.4038461538
Argentina,5,4,12.5
Argentina,5,5,12.3846153846
Argentina,5,6,18.6923076923
Argentina,5,7,23.8269230769
Argentina,5,8,55.4038461538
Argentina,5,9,140.6923076923
Argentina,5,10,183.1923076923
Argentina,5,11,202.3076923077
Argentina,5,12,185.75
