Country,Related JobCategory,Level1,Level2,projects,percent
Afghanistan,8,Web Development,Web Design,2,0.0833333333
Afghanistan,9,Web Development,Web Programming,8,0.3333333333
Afghanistan,23,Software Development,Mobile Apps,1,0.0416666667
Afghanistan,29,Networking & Information Systems,Network Administration,2,0.0833333333
Afghanistan,33,Networking & Information Systems,Other - Networking & Information Systems,8,0.3333333333
Afghanistan,37,Writing & Translation,Blog & Article Writing,1,0.0416666667
Afghanistan,41,Administrative Support,Personal Assistant,1,0.0416666667
Afghanistan,65,Customer Service,Technical Support,1,0.0416666667
Albania,8,Web Development,Web Design,5,0.0245098039
Albania,9,Web Development,Web Programming,35,0.1715686275
Albania,11,Web Development,Ecommerce,3,0.0147058824
Albania,17,Web Development,Other - Web Development,3,0.0147058824
Albania,18,Software Development,Desktop Applications,8,0.0392156863
Albania,19,Software Development,Client-Server Applications,3,0.0147058824
Albania,22,Software Development,Software Plug-ins,1,0.0049019608
Albania,23,Software Development,Mobile Apps,2,0.0098039216
Albania,25,Software Development,Software Project Management,3,0.0147058824
Albania,28,Software Development,Other - Software Development,4,0.0196078431
Albania,29,Networking & Information Systems,Network Administration,1,0.0049019608
Albania,33,Networking & Information Systems,Other - Networking & Information Systems,5,0.0245098039
Albania,34,Writing & Translation,Technical Writing,4,0.0196078431
Albania,37,Writing & Translation,Blog & Article Writing,6,0.0294117647
Albania,39,Writing & Translation,Other - Writing & Translation,14,0.068627451
Albania,40,Administrative Support,Data Entry,5,0.0245098039
Albania,42,Administrative Support,Web Research,1,0.0049019608
Albania,47,Design & Multimedia,Graphic Design,4,0.0196078431
Albania,48,Design & Multimedia,Logo Design,1,0.0049019608
Albania,54,Design & Multimedia,Video Production,1,0.0049019608
Albania,57,Design & Multimedia,Other - Design & Multimedia,3,0.0147058824
Albania,58,Writing & Translation,Translation,54,0.2647058824
Albania,62,Writing & Translation,Creative Writing,1,0.0049019608
Albania,63,Administrative Support,Transcription,1,0.0049019608
Albania,64,Customer Service,Customer Service & Support,7,0.0343137255
Albania,67,Customer Service,Other - Customer Service,1,0.0049019608
Albania,73,Sales & Marketing,Telemarketing & Telesales,1,0.0049019608
Albania,74,Sales & Marketing,Market Research & Surveys,1,0.0049019608
Albania,75,Sales & Marketing,Sales & Lead Generation,3,0.0147058824
Albania,76,Sales & Marketing,Other - Sales & Marketing,10,0.0490196078
Albania,82,Business Services,Project Management,4,0.0196078431
Albania,83,Business Services,Business Consulting,1,0.0049019608
Albania,84,Business Services,Recruiting,1,0.0049019608
Albania,87,Customer Service,Order Processing,4,0.0196078431
Albania,88,Sales & Marketing,SEO - Search Engine Optimization,1,0.0049019608
Albania,89,Sales & Marketing,Business Plans & Marketing Strategy,1,0.0049019608
Algeria,8,Web Development,Web Design,168,0.0696228761
Algeria,9,Web Development,Web Programming,251,0.1040198923
Algeria,11,Web Development,Ecommerce,10,0.0041442188
Algeria,13,Web Development,UI Design,4,0.0016576875
Algeria,15,Web Development,Website QA,1,0.0004144219
Algeria,16,Web Development,Website Project Management,13,0.0053874845
Algeria,17,Web Development,Other - Web Development,40,0.0165768753
Algeria,18,Software Development,Desktop Applications,91,0.0377123912
Algeria,19,Software Development,Client-Server Applications,6,0.0024865313
Algeria,20,Software Development,Game Development,6,0.0024865313
Algeria,21,Software Development,Scripts & Utilities,49,0.0203066722
Algeria,22,Software Development,Software Plug-ins,12,0.0049730626
Algeria,23,Software Development,Mobile Apps,20,0.0082884376
Algeria,24,Software Development,Application Interface Design,3,0.0012432656
Algeria,25,Software Development,Software Project Management,31,0.0128470783
Algeria,26,Software Development,Software QA,4,0.0016576875
Algeria,28,Software Development,Other - Software Development,86,0.0356402818
Algeria,29,Networking & Information Systems,Network Administration,8,0.0033153751
Algeria,31,Networking & Information Systems,DBA - Database Administration,6,0.0024865313
Algeria,32,Networking & Information Systems,Server Administration,6,0.0024865313
Algeria,33,Networking & Information Systems,Other - Networking & Information Systems,7,0.0029009532
Algeria,34,Writing & Translation,Technical Writing,40,0.0165768753
Algeria,35,Writing & Translation,Website Content,83,0.0343970162
Algeria,37,Writing & Translation,Blog & Article Writing,134,0.0555325321
Algeria,38,Writing & Translation,Copywriting,15,0.0062163282
Algeria,39,Writing & Translation,Other - Writing & Translation,63,0.0261085785
Algeria,40,Administrative Support,Data Entry,75,0.0310816411
Algeria,41,Administrative Support,Personal Assistant,29,0.0120182346
Algeria,42,Administrative Support,Web Research,21,0.0087028595
Algeria,46,Administrative Support,Other - Administrative Support,27,0.0111893908
Algeria,47,Design & Multimedia,Graphic Design,325,0.1346871115
Algeria,48,Design & Multimedia,Logo Design,78,0.0323249068
Algeria,49,Design & Multimedia,Illustration,28,0.0116038127
Algeria,50,Design & Multimedia,Print Design,53,0.0219643597
Algeria,51,Design & Multimedia,3D Modeling & CAD,24,0.0099461252
Algeria,53,Design & Multimedia,Audio Production,6,0.0024865313
Algeria,54,Design & Multimedia,Video Production,42,0.017405719
Algeria,55,Design & Multimedia,Voice Talent,9,0.0037297969
Algeria,56,Design & Multimedia,Animation,8,0.0033153751
Algeria,57,Design & Multimedia,Other - Design & Multimedia,50,0.0207210941
Algeria,58,Writing & Translation,Translation,194,0.080397845
Algeria,60,Design & Multimedia,Presentations,8,0.0033153751
Algeria,61,Design & Multimedia,Engineering & Technical Design,3,0.0012432656
Algeria,62,Writing & Translation,Creative Writing,18,0.0074595939
Algeria,63,Administrative Support,Transcription,28,0.0116038127
Algeria,64,Customer Service,Customer Service & Support,17,0.007045172
Algeria,65,Customer Service,Technical Support,3,0.0012432656
Algeria,66,Customer Service,Phone Support,1,0.0004144219
Algeria,67,Customer Service,Other - Customer Service,3,0.0012432656
Algeria,68,Sales & Marketing,Advertising,12,0.0049730626
Algeria,69,Sales & Marketing,Email Marketing,7,0.0029009532
Algeria,70,Sales & Marketing,SEM - Search Engine Marketing,4,0.0016576875
Algeria,71,Sales & Marketing,SMM - Social Media Marketing,18,0.0074595939
Algeria,72,Sales & Marketing,PR - Public Relations,3,0.0012432656
Algeria,73,Sales & Marketing,Telemarketing & Telesales,5,0.0020721094
Algeria,74,Sales & Marketing,Market Research & Surveys,3,0.0012432656
Algeria,75,Sales & Marketing,Sales & Lead Generation,8,0.0033153751
Algeria,76,Sales & Marketing,Other - Sales & Marketing,51,0.021135516
Algeria,82,Business Services,Project Management,34,0.014090344
Algeria,84,Business Services,Recruiting,5,0.0020721094
Algeria,85,Business Services,Statistical Analysis,4,0.0016576875
Algeria,86,Business Services,Other - Business Services,16,0.0066307501
Algeria,87,Customer Service,Order Processing,7,0.0029009532
Algeria,88,Sales & Marketing,SEO - Search Engine Optimization,22,0.0091172814
Algeria,89,Sales & Marketing,Business Plans & Marketing Strategy,3,0.0012432656
American Samoa,8,Web Development,Web Design,1,0.0666666667
American Samoa,9,Web Development,Web Programming,5,0.3333333333
American Samoa,13,Web Development,UI Design,1,0.0666666667
American Samoa,18,Software Development,Desktop Applications,1,0.0666666667
American Samoa,19,Software Development,Client-Server Applications,1,0.0666666667
American Samoa,25,Software Development,Software Project Management,1,0.0666666667
American Samoa,28,Software Development,Other - Software Development,4,0.2666666667
American Samoa,88,Sales & Marketing,SEO - Search Engine Optimization,1,0.0666666667
Andorra,8,Web Development,Web Design,1,0.1428571429
Andorra,19,Software Development,Client-Server Applications,1,0.1428571429
Andorra,28,Software Development,Other - Software Development,1,0.1428571429
Andorra,31,Networking & Information Systems,DBA - Database Administration,1,0.1428571429
Andorra,40,Administrative Support,Data Entry,1,0.1428571429
Andorra,46,Administrative Support,Other - Administrative Support,2,0.2857142857
Angola,32,Networking & Information Systems,Server Administration,2,0.4
Angola,40,Administrative Support,Data Entry,3,0.6
Anguilla,23,Software Development,Mobile Apps,1,0.2
Anguilla,33,Networking & Information Systems,Other - Networking & Information Systems,3,0.6
Anguilla,47,Design & Multimedia,Graphic Design,1,0.2
Antarctica,9,Web Development,Web Programming,1,0.1111111111
Antarctica,18,Software Development,Desktop Applications,3,0.3333333333
Antarctica,28,Software Development,Other - Software Development,5,0.5555555556
Antigua and Barbuda,35,Writing & Translation,Website Content,2,0.08
Antigua and Barbuda,37,Writing & Translation,Blog & Article Writing,1,0.04
Antigua and Barbuda,40,Administrative Support,Data Entry,6,0.24
Antigua and Barbuda,41,Administrative Support,Personal Assistant,2,0.08
Antigua and Barbuda,42,Administrative Support,Web Research,8,0.32
Antigua and Barbuda,43,Administrative Support,Email Response Handling,1,0.04
Antigua and Barbuda,46,Administrative Support,Other - Administrative Support,1,0.04
Antigua and Barbuda,64,Customer Service,Customer Service & Support,1,0.04
Antigua and Barbuda,66,Customer Service,Phone Support,1,0.04
